,Volcano_Name,Volcano_Type,Country,Region,Subregion,epoch_period,Last_Eruption,Latitude,Longitude,population_within_5km,population_within_10km,population_within_30km,population_within_100km,Summit,Elevation
1019,Santorini,Shield,Greece,Mediterranean and Western Asia,Greece,holocene,1950 CE,36,36,5176.0,12266.0,12336.0,67468.0,367,1204
1020,Sao Jorge,Fissure vent,Portugal,Atlantic Ocean,Azores,holocene,1907 CE,38,38,2088.0,4689.0,16290.0,99442.0,1053,3455
1021,Sara Sara,Stratovolcano,Peru,South America,Peru,holocene,Unknown - Evidence Credible,15,15,53.0,751.0,18707.0,127762.0,5522,18117
1023,Sarik-Gajah,Pyroclastic cone,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,0,0,5188.0,21465.0,247754.0,2951369.0,737,2418
1024,Sarychev Peak,Stratovolcano,Russia,Kuril Islands,Kuril Islands,holocene,2021 CE,48,48,17.0,143.0,143.0,148.0,1496,4908
1028,Savo,Stratovolcano,Solomon Islands,Melanesia and Australia,Bougainville and Solomon Islands,holocene,1847 CE,9,9,3200.0,3200.0,6251.0,174571.0,485,1591
1029,"Sawad, Harra Es-",Volcanic field,Yemen,Middle East and Indian Ocean,Middle East (southern),holocene,1253 CE,13,13,74598.0,74598.0,74598.0,850297.0,1737,5699
1032,Segererua Plateau,Pyroclastic cone,Kenya,Africa and Red Sea,Africa (eastern),holocene,Unknown - Evidence Credible,1,1,5211.0,5211.0,11949.0,147996.0,699,2293
1035,Sekincau Belirang,Caldera,Indonesia,Indonesia,Sumatra,holocene,Unknown - Unrest / Holocene,5,5,176.0,2238.0,18911.0,2336471.0,1717,5633
1036,Semeru,Stratovolcano,Indonesia,Indonesia,Java,holocene,2022 CE,8,8,2686.0,8375.0,1022197.0,20098931.0,3657,11998
1038,Serdan-Oriental,Tuff cone,Mexico,México and Central America,Mexico,holocene,Unknown - Evidence Credible,19,19,93158.0,93158.0,211350.0,7672879.0,3485,11434
1039,Serua,Stratovolcano,Indonesia,Indonesia,Banda Sea,holocene,1921 CE,6,6,58.0,58.0,58.0,258.0,608,1995
1040,Sessagara,Pyroclastic cone,Papua New Guinea,Melanesia and Australia,New Guinea and D'Entrecasteaux Islands,holocene,Unknown - Evidence Credible,9,9,5210.0,5210.0,9898.0,131143.0,370,1214
1041,Sete Cidades,Stratovolcano,Portugal,Atlantic Ocean,Azores,holocene,1880 CE,37,37,3515.0,10365.0,102848.0,127154.0,842,2762
1042,Seulawah Agam,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,1839 CE,5,5,226.0,10555.0,306345.0,1565392.0,1810,5938
1044,Sharat Kovakab,Volcanic field,Syria,Middle East and Indian Ocean,Middle East (western),holocene,Unknown - Evidence Credible,36,36,176268.0,176268.0,228172.0,1826752.0,516,1693
1047,Shiga,Shield,Japan,"Japan, Taiwan, Marianas",Honshu,holocene,Unknown - Evidence Uncertain,36,36,2474.0,9610.0,449713.0,5784413.0,2041,6696
1048,Shikotsu,Caldera,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1979 CE,42,42,130474.0,130474.0,316816.0,3096376.0,1320,4331
1049,Shiretoko-Iozan,Stratovolcano,Japan,"Japan, Taiwan, Marianas",Hokkaido,holocene,1936 CE,44,44,6.0,1516.0,7890.0,209060.0,1562,5125
1053,Sibualbuali,Stratovolcano,Indonesia,Indonesia,Sumatra,holocene,Unknown - Evidence Uncertain,1,1,2249.0,10838.0,404339.0,2481584.0,1819,5968
1054,Silali,Shield,Kenya,Africa and Red Sea,Africa (eastern),holocene,5050 BCE,1,1,157.0,784.0,18705.0,917921.0,1528,5013
1055,Silay,Stratovolcano,Philippines,Philippines and SE Asia,Central Philippines,holocene,Unknown - Unrest / Holocene,10,10,310.0,11499.0,1167963.0,9522729.0,1510,4954
1056,Silverthrone,Caldera,Canada,Canada and Western USA,Canada,holocene,Unknown - Evidence Credible,51,51,7.0,7.0,67.0,1278.0,3160,10367
